abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
killing, anger,,, fear,, sadness,,, negative,
kind,,,,, joy,,, trust,, positive
kindness,,,,,,,,,, positive
kindred,, anticip,,, joy,,, trust,, positive
king,,,,,,,,,, positive
kiss,, anticip,,, joy,, surprise,,, positive
kite,,, disgust,,,,,, negative,
kitten,,,,, joy,,, trust,, positive
knack,,,,,,,,,, positive
knell,,,, fear,, sadness,,, negative,
knickers,,,,,,,, trust,,
knight,,,,,,,,,, positive
knotted,,,,,,,,, negative,
knowing,,,,,,,,,, positive
knowledge,,,,,,,,,, positive
kudos,,,,, joy,,,,, positive
label,,,,,,,, trust,,
labor,, anticip,,, joy,, surprise, trust,, positive
labored,,,,,, sadness,,, negative,
laborious,,,,,,,,, negative,
labyrinth,, anticip,,,,,,, negative,
lace, anger,,, fear,, sadness,, trust, negative, positive
lack,,,,,,,,, negative,
lacking,,,,,,,,, negative,
lackluster,,,,,,,,, negative,
laden,,,,,,,,, negative,
lag,,,,,,,,, negative,
lagging, anger, anticip, disgust,,, sadness,,, negative,
lair,,,,,,,,, negative,
lamb,,,,, joy,,, trust,, positive
lament,,, disgust, fear,, sadness,,, negative,
lamenting,,,,,, sadness,,,,
land,,,,,,,,,, positive
landed,,,,,,,,,, positive
landmark,,,,,,,, trust,,
landslide,,,, fear,, sadness,,, negative,
languid,,,,,,,,, negative,
languish,,,,,,,,, negative,
languishing,,,, fear,, sadness,,, negative,
lapse,,,,,,,,, negative,
larceny,,, disgust,,,,,, negative,
larger,,, disgust,,,, surprise, trust,,
laser,,,,,,,, trust,, positive
lash, anger,,, fear,,,,, negative,
late,,,,,, sadness,,, negative,
lateness,,,,,,,,, negative,
latent, anger, anticip, disgust,,,, surprise,, negative,
latrines,,, disgust,,,,,, negative,
laudable,,,,,,,,,, positive
laugh,,,,, joy,, surprise,,, positive
laughable,,, disgust,,,,,, negative,
laughing,,,,, joy,,,,, positive
laughter,, anticip,,, joy,, surprise,,, positive
launch,, anticip,,,,,,,, positive
laureate,,,,,,,, trust,, positive
laurel,,,,,,,,,, positive
laurels,,,,, joy,,,,, positive
lava, anger,,, fear,,,,, negative,
lavatory,,, disgust,,,,,,,
lavish,,,,,,,,,, positive
law,,,,,,,, trust,,
lawful,,,,,,,, trust,, positive
lawlessness, anger,,, fear,,,,, negative,
lawsuit, anger,, disgust, fear,, sadness, surprise,, negative,
lawyer, anger,, disgust, fear,,,,, negative,
lax,,,,,, sadness,,, negative,
laxative,,, disgust, fear,,,,, negative,
lazy,,,,,,,,, negative,
lead,,,,,,,,,, positive
leader,,,,,,,, trust,, positive
leading,,,,,,,, trust,,
league,,,,,,,,,, positive
leak,,,,,,,,, negative,
leakage,,,,,,,,, negative,
leaky,,,,,,,,, negative,
leaning,,,,,,,, trust,,
learn,,,,,,,,,, positive
learning,,,,,,,,,, positive
leave,,,,,, sadness, surprise,, negative,
lecturer,,,,,,,,,, positive
leech,,,,,,,,, negative,
leeches,,, disgust, fear,,,,, negative,
leer,,, disgust,,,,,, negative,
leery,,,,,,, surprise,,,
leeway,,,,,,,,,, positive
legal,,,,,,,, trust,, positive
legalized, anger,,, fear, joy,,, trust,, positive
legendary,,,,,,,,,, positive
legibility,,,,,,,,,, positive
legible,,,,,,,,,, positive
legislator,,,,,,,, trust,,
legislature,,,,,,,, trust,,
legitimacy,,,,,,,, trust,,
leisure,, anticip,,, joy,, surprise, trust,, positive
leisurely,,,,,,,,,, positive
lemma,,,,,,,,,, positive
lemon,,, disgust,,,,,, negative,
lender,,,,,,,, trust,,
lenient,,,,,,,,,, positive
leprosy,,, disgust, fear,, sadness,,, negative,
lesbian,,, disgust,,, sadness,,, negative,
lessen,, anticip,,,,,,, negative,
lesser,,, disgust,,,,,, negative,
lesson,, anticip,,,,,, trust,, positive
lethal,,, disgust, fear,, sadness,,, negative,
lethargy,,,,,, sadness,,, negative,
letter,, anticip,,,,,,,,
lettered,, anticip,,,,,, trust,, positive
leukemia, anger,,, fear,, sadness,,, negative,
levee,,,,,,,, trust,,
level,,,,,,,, trust,, positive
leverage,,,,,,,,,, positive
levy,,,,,,,,, negative,
lewd,,, disgust,,,,,, negative,
liaison,,,,,,,,, negative,
liar,,, disgust,,,,,, negative,
libel, anger,,, fear,,,, trust, negative,
liberal,,,,,,,,, negative, positive
liberate, anger, anticip,,, joy,, surprise, trust,, positive
liberation,, anticip,,, joy,, surprise,,, positive
liberty,, anticip,,, joy,, surprise, trust,, positive
library,,,,,,,,,, positive
license,,,,,,,,,,
lick,,, disgust,,,,,, negative,
lie, anger,, disgust,,, sadness,,, negative,
lieutenant,,,,,,,, trust,,
lifeblood,,,,,,,,,, positive
lifeless,,,, fear,, sadness,,, negative,
lighthouse,,,,,,,,,, positive
lightning, anger,,, fear,,, surprise,,,
liking,,,,, joy,,, trust,, positive
limited, anger,,,,, sadness,,, negative,
limp,,,,,,,,, negative,
lines,,,, fear,,,,,,
linger,, anticip,,,,,,,,
linguist,,,,,,,, trust,, positive
lint,,,,,,,,, negative,
lion,,,, fear,,,,,, positive
liquor, anger,,,, joy, sadness,,, negative,
listless,,,,,, sadness,,, negative,
lithe,,,,,,,,,, positive
litigant,,,,,,,,, negative,
litigate, anger, anticip, disgust, fear,, sadness,,, negative,
litigation,,,,,,,,, negative,
litigious, anger,, disgust,,,,,, negative,
litter,,,,,,,,, negative,
livid, anger,, disgust,,,,,, negative,
loaf,,,,,,,,, negative,
loafer,,,,,,,,, negative,
loath, anger,,,,,,,, negative,
loathe, anger,, disgust,,,,,, negative,
loathing,,, disgust,,,,,, negative,
loathsome, anger,, disgust,,,,,, negative,
lobbyist,,,,,,,,, negative,
localize,, anticip,,,,,,,,
lockup,,,, fear,, sadness,,, negative,
locust,,,, fear,,,,, negative,
lodging,,,,,,,, trust,,
lofty,,,,,,,,, negative,
logical,,,,,,,,,, positive
lone,,,,,, sadness,,,,
loneliness,,,, fear,, sadness,,, negative,
lonely, anger,, disgust, fear,, sadness,,, negative,
lonesome,,,,,, sadness,,, negative,
long,, anticip,,,,,,,,
longevity,,,,,,,,,, positive
longing,, anticip,,,, sadness,,,,
loo,,, disgust,,,,,, negative,
loom,, anticip,, fear,,,,, negative,
loon,,, disgust,,,,,, negative,
loony,,,,,,,,, negative,
loot,,,,,,,,, negative,
lord,,, disgust,,,,, trust, negative, positive
lordship,,,,,,,,,, positive
lose, anger,, disgust, fear,, sadness, surprise,, negative,
losing, anger,,,,, sadness,,, negative,
loss, anger,,, fear,, sadness,,, negative,
lost,,,,,, sadness,,, negative,
lottery,, anticip,,,,,,,,
loudness, anger,,,,,,,, negative,
lounge,,,,,,,,, negative,
louse,,, disgust,,,,,, negative,
lovable,,,,, joy,,, trust,, positive
love,,,,, joy,,,,, positive
lovely,, anticip,,, joy, sadness, surprise, trust,, positive
lovemaking,,,,, joy,,, trust,, positive
lover,, anticip,,, joy,,, trust,, positive
loving,,,,, joy,,, trust,, positive
lower,,,,,, sadness,,, negative,
lowering,,,,,,,,, negative,
lowest,,,,,, sadness,,, negative,
lowlands,,,,,,,,, negative,
lowly,,,,,, sadness,,, negative,
loyal,,,, fear, joy,, surprise, trust,, positive
loyalty,,,,,,,, trust,, positive
luck,, anticip,,, joy,, surprise,,, positive
lucky,,,,, joy,, surprise,,, positive
ludicrous,,,,,,,,, negative,
lull,, anticip,,,,,,,,
lumbering,,,,,,,,, negative,
lump,,,,,,,,, negative,
lumpy,,, disgust,,,,,, negative,
lunacy, anger,, disgust, fear,, sadness,,, negative,
lunatic, anger,, disgust, fear,,,,, negative,
lunge,,,,,,, surprise,,,
lurch,,,,,,,,, negative,
lure,,,,,,,,, negative,
lurid,,, disgust,,,,,, negative,
lurk,,,,,,,,, negative,
lurking,,,,,,,,, negative,
luscious,, anticip,,, joy,,,,, positive
lush,,, disgust,,, sadness,,, negative,
lust,, anticip,,,,,,, negative,
luster,,,,, joy,,,,, positive
lustful,,,,,,,,, negative,
lustrous,,,,,,,,,, positive
lusty,,, disgust,,,,,,,
luxuriant,,,,,,,,,, positive
luxurious,,,,, joy,,,,, positive
luxury,,,,, joy,,,,, positive
lying, anger,, disgust,,,,,, negative,
lynch, anger,, disgust, fear,, sadness,,, negative,
lyre,,,,, joy,,,,, positive
lyrical,,,,, joy,,,,, positive
mace,,,, fear,,,,, negative,
machine,,,,,,,, trust,,
mad, anger,, disgust, fear,, sadness,,, negative,
madden, anger,,, fear,,,,, negative,
madman, anger,,, fear,,,,, negative,
madness, anger,,, fear,,,,, negative,
mafia,,,, fear,,,,, negative,
mage,,,, fear,,,,,,
maggot,,, disgust,,,,,, negative,
magical,, anticip,,, joy,, surprise,,, positive
magician,,,,,,, surprise,,,
magnet,,,,,,,, trust,, positive
magnetism,,,,,,,,,, positive
magnetite,,,,,,,,,, positive
magnificence,, anticip,,, joy,,, trust,, positive
magnificent,, anticip,,, joy,, surprise, trust,, positive
maiden,,,,,,,,,, positive
mail,, anticip,,,,,,,,
main,,,,,,,,,, positive
mainstay,,,,,,,, trust,, positive
maintenance,,,,,,,, trust,,
majestic,, anticip,,, joy,, surprise, trust,, positive
majesty,,,,,,,, trust,, positive
major,,,,,,,,,, positive
majority,,,,, joy,,, trust,, positive
makeshift,,,,,,,,, negative,
malady,,,,,,,,, negative,
malaise,,,,,, sadness,,, negative,
malaria,,, disgust, fear,, sadness,,, negative,
malevolent, anger,, disgust, fear,, sadness,,, negative,
malfeasance,,, disgust,,,,,, negative,
malformation,,,,,,,,, negative,
malice, anger,,, fear,,,,, negative,
malicious, anger,, disgust, fear,, sadness,,, negative,
malign, anger,, disgust,,,,,, negative,
malignancy,,,, fear,, sadness,,, negative,
malignant, anger,,, fear,,,,, negative,
malpractice, anger,,,,,,,, negative,
mamma,,,,,,,, trust,,
manage,,,,,,,, trust,, positive
management,,,,,,,, trust,, positive
mandamus,,,, fear,,,,, negative,
mandarin,,,,,,,, trust,, positive
mange,,, disgust, fear,,,,, negative,
mangle, anger,, disgust, fear,, sadness,,, negative,
manhood,,,,,,,,,, positive
mania,,,,,,,,, negative,
maniac, anger,,, fear,,,,, negative,
maniacal,,,,,,,,, negative,
manifestation,,,, fear,,,,,,
manifested,,,,,,,,,, positive
manipulate,,,,,,,,, negative,
manipulation, anger,,, fear,,,,, negative,
manly,,,,,,,,,, positive
manna,,,,,,,,,, positive
mannered,,,,,,,,,, positive
manners,,,,,,,,,, positive
manslaughter, anger,, disgust, fear,, sadness, surprise,, negative,
manual,,,,,,,, trust,,
manufacturer,,,,,,,,,, positive
manure,,, disgust,,,,,, negative,
mar,,,,,,,,, negative,
march,,,,,,,,,, positive
margin,,,,,, sadness,,, negative,
marine,,,,,,,, trust,,
marked,,,,,,,,,, positive
marketable,,,,,,,,,, positive
maroon,,,,,,,,, negative,
marquis,,,,,,,,,, positive
marriage,, anticip,,, joy,,, trust,, positive
marrow,,,,, joy,,, trust,, positive
marry,, anticip,, fear, joy,, surprise, trust,, positive
marshal,,,,,,,, trust,, positive
martial, anger,,,,,,,,,
martingale,,,,,,,,, negative,
martyr,,,, fear,, sadness,,, negative,
martyrdom,,,, fear,, sadness,,, negative,
marvel,,,,,,, surprise,,, positive
marvelous,,,,, joy,,,,, positive
marvelously,,,,, joy,,,,, positive
masculine,,,,,,,,,, positive
masochism, anger,, disgust, fear,,,,, negative,
massacre, anger,, disgust, fear,, sadness,,, negative,
massage,,,,, joy,,,,, positive
master,,,,,,,,,, positive
masterpiece,,,,, joy,,,,, positive
mastery, anger,,,, joy,,, trust,, positive
matchmaker,, anticip,,,,,,,,
mate,,,,,,,, trust,, positive
materialism,,,,,,,,, negative,
materialist,,, disgust,,,,,, negative,
maternal,, anticip,,,,,,, negative, positive
mathematical,,,,,,,, trust,,
matrimony,, anticip,,, joy,,, trust,, positive
matron,,,,,,,, trust,, positive
mausoleum,,,,,, sadness,,,,
maxim,,,,,,,, trust,,
maximum,,,,,,,,,, positive
mayor,,,,,,,,,, positive
meadow,,,,,,,,,, positive
meandering,,,,,,,,, negative,
meaningless,,,,,, sadness,,, negative,
measles,,, disgust, fear,, sadness,,, negative,
measure,,,,,,,, trust,,
measured,,,,,,,, trust,, positive
medal,, anticip,,, joy,, surprise, trust,, positive
meddle, anger,,,,,,,, negative,
mediate,, anticip,,,,,, trust,, positive
mediation,,,,,,,,,, positive
mediator,, anticip,,,,,, trust,, positive
medical,, anticip,, fear,,,, trust,, positive
mediocre,,,,,,,,, negative,
mediocrity,,,,,,,,, negative,
meditate,, anticip,,, joy,,, trust,, positive
mediterranean,,,,,,,,,, positive
medley,,,,,,,,,, positive
meek,,,,,, sadness,,,,
melancholic,,,,,, sadness,,, negative,
melancholy,,,,,, sadness,,, negative,
melee,,,, fear,,,,, negative,
melodrama, anger,,,,, sadness,,, negative,
meltdown,,,,,, sadness,,, negative,
memento,,,,,,,,,, positive
memorable,,,,, joy,, surprise, trust,, positive
memorials,,,,,, sadness,,,,
menace, anger,,, fear,,,,, negative,
menacing, anger,,, fear,,,,, negative,
mending,,,,,,,,,, positive
menial,,,,,,,,, negative,
menses,,,,,,,,,, positive
mentor,,,,,,,, trust,, positive
mercenary,,,, fear,,,,, negative,
merchant,,,,,,,, trust,,
merciful,,,,,,,,,, positive
merciless,,,, fear,,,,, negative,
mercy,,,,,,,,,, positive
merge,, anticip,,,,,,,, positive
merit,,,,,,,, trust,, positive
meritorious,,,,, joy,,, trust,, positive
merriment,,,,, joy,, surprise,,, positive
merry,,,,, joy,,,,, positive
mess,,, disgust,,,,,, negative,
messenger,,,,,,,, trust,,
messy,,, disgust,,,,,, negative,
metastasis,,,,,,,,, negative,
methanol,,,,,,,,, negative,
metropolitan,,,,,,,,,, positive
mettle,,,,,,,,,, positive
microscope,,,,,,,, trust,,
microscopy,,,,,,,,,, positive
midwife,, anticip,,, joy,,, trust, negative, positive
midwifery,,,,,,,,,, positive
mighty, anger,,, fear, joy,,, trust,, positive
mildew,,, disgust,,,,,, negative,
military,,,, fear,,,,,,
militia, anger,,, fear,, sadness,,, negative,
mill,, anticip,,,,,,,,
mime,,,,,,,,,, positive
mimicry,,,,,,, surprise,, negative,
mindful,,,,,,,,,, positive
mindfulness,,,,,,,,,, positive
minimize,,,,,,,,, negative,
minimum,,,,,,,,, negative,
ministry,,,,, joy,,, trust,, positive
minority,,,,,,,,, negative,
miracle,, anticip,,, joy,, surprise, trust,, positive
miraculous,,,,, joy,, surprise,,, positive
mire,,, disgust,,,,,, negative,
mirth,,,,, joy,,,,, positive
misbehavior, anger,, disgust,,,, surprise,, negative,
miscarriage,,,, fear,, sadness,,, negative,
mischief,,,,,,,,, negative,
mischievous,,,,,,,,, negative,
misconception, anger,, disgust, fear,,,,, negative,
misconduct,,, disgust,,,,,, negative,
miserable, anger,, disgust,,, sadness,,, negative,
miserably,,,,,, sadness,,, negative,
misery, anger,, disgust, fear,, sadness,,, negative,
misfortune,,,, fear,, sadness,,, negative,
misguided,,, disgust,,,,,, negative,
mishap,,, disgust, fear,, sadness, surprise,, negative,
misinterpretation,,,,,,,,, negative,
mislead, anger,,, fear,,,, trust, negative,
misleading, anger,, disgust,,,,,, negative,
mismanagement,,,,,,,,, negative,
mismatch,,,,,,,,, negative,
misnomer,,,,,,,,, negative,
misplace, anger,, disgust,,,,,, negative,
misplaced,,,,,,,,, negative,
misrepresent,,,,,,,,, negative,
misrepresentation,,,,,, sadness,,, negative,
misrepresented, anger,,,,,,,, negative,
missile,,,, fear,,,,,,
missing,,,, fear,, sadness,,, negative,
missionary,,,,,,,,,, positive
misstatement, anger,, disgust,,,,,, negative,
mistake,,,,,, sadness,,, negative,
mistaken,,,, fear,,,,, negative,
mistress, anger,, disgust,,,,,, negative,
mistrust,,, disgust, fear,,,,, negative,
misunderstand,,,,,,,,, negative,
misunderstanding, anger,,,,, sadness,,, negative,
misuse,,,,,,,,, negative,
mite,,, disgust,,,,,, negative,
moan,,,, fear,, sadness,,,,
moat,,,,,,,, trust,,
mob, anger,,, fear,,,,, negative,
mobile,, anticip,,,,,,,,
mockery,,, disgust,,,,,, negative,
mocking, anger,, disgust,,, sadness,,, negative,
model,,,,,,,,,, positive
moderate,,,,,,,,,, positive
moderator,,,,,,,, trust,, positive
modest,,,,,,,, trust,, positive
modesty,,,,,,,,,, positive
modify,,,,,,, surprise,,,
molestation, anger,, disgust, fear,, sadness,,, negative,
momentum,, anticip,,,,,,,, positive
monetary,, anticip,,,,,,,, positive
money, anger, anticip,,, joy,, surprise, trust,, positive
monk,,,,,,,, trust,, positive
monochrome,,, disgust,,,,,, negative,
monogamy,,,,,,,, trust,,
monopolist,,,,,,,,, negative,
monsoon,,,,,, sadness,,, negative,
monster,,,, fear,,,,, negative,
monstrosity, anger,, disgust, fear,,, surprise,, negative,
monument,,,,,,,,,, positive
moody, anger,,,,, sadness,,, negative,
moorings,,,,,,,, trust,,
moot,,,,,,,,, negative,
moral, anger,,,,,,, trust,, positive
morality,,,,,,,, trust,, positive
morals, anger, anticip, disgust,, joy,, surprise, trust,, positive
morbid,,,,,, sadness,,, negative,
morbidity, anger,, disgust, fear,, sadness,,, negative,
morgue,,, disgust, fear,, sadness,,, negative,
moribund,,,,,, sadness,,, negative,
morn,, anticip,,,,,,,,
moron,,,,,,,,, negative,
moronic,,,,,,,,, negative,
morrow,, anticip,,,,,,,,
morsel,,,,,,,,, negative,
mortal,,,,,,,,, negative,
mortality, anger,,, fear,, sadness,,, negative,
mortar,,,,,,,,,, positive
mortgage,,,, fear,,,,,,
mortgagee,,,,,,,, trust,,
mortgagor,,,, fear,,,,,,
mortification,, anticip, disgust, fear,, sadness,,, negative,
mortuary,,,, fear,, sadness,,, negative,
mosque, anger,,,,,,,,,
mosquito, anger,, disgust,,,,,, negative,
mother,, anticip,,, joy, sadness,, trust, negative, positive
motherhood,,,,, joy,,, trust,, positive
motion,, anticip,,,,,,,,
motive,,,,,,,,,, positive
mountain,, anticip,,,,,,,,
mourn,,,,,, sadness,,, negative,
mournful, anger,,, fear,, sadness,,, negative,
mourning,,,,,, sadness,,, negative,
mouth,,,,,,, surprise,,,
mouthful,,, disgust,,,,,,,
movable,,,,,,,,,, positive
mover,,,,,,,,,, positive
muck,,, disgust,,,,,, negative,
mucous,,, disgust,,,,,,,
mucus,,, disgust,,,,,,,
mud,,,,,,,,, negative,
muddle,,,,,,,,, negative,
muddled,,,,,,,,, negative,
muddy,,, disgust,,,,,, negative,
muff, anger,, disgust,,,,,, negative,
mug, anger,,, fear,, sadness,,, negative, positive
mule, anger,,,,,,, trust, negative,
mum,,,, fear,,,,, negative,
mumble,,,,,,,,, negative,
mumps,,,,,,,,, negative,
murder, anger,, disgust, fear,, sadness, surprise,, negative,
murderer, anger,, disgust, fear,, sadness,,, negative,
murderous, anger,, disgust, fear,, sadness, surprise,, negative,
murky,,, disgust,,, sadness,,, negative,
muscular,,,,,,,,,, positive
music,,,,, joy, sadness,,,, positive
musical, anger, anticip,,, joy, sadness, surprise, trust,, positive
musket,,,, fear,,,,,,
muss,,,,,,,,, negative,
musty,,, disgust,,,,,, negative,
mutable,, anticip,,,,,,,, positive
mutant,,,,,,,,, negative,
mutilated,,, disgust,,,,,, negative,
mutilation, anger,, disgust, fear,, sadness,,, negative,
mutiny, anger,, disgust, fear,,, surprise,, negative,
mutter, anger,,,,,,,, negative,
mutual,,,,,,,,,, positive
muzzle,,,, fear,,,,, negative,
myopia, anger,,,,, sadness,,, negative,
mysterious,, anticip,, fear,,, surprise,,,
mystery,, anticip,,,,, surprise,,,
mystic,,,,,,, surprise,,,
nab,,,,,,, surprise,, negative,
nadir,,,,,,,,, negative,
nag, anger,,,,,,,, negative,
naive,,,,,,,,, negative,
nameless,,, disgust,,,,,, negative,
nap,,,,, joy,,,,, positive
napkin,,,,,, sadness,,,,
nappy,,, disgust,,,,,, negative,
narcotic,,,,,,,,, negative,
nascent,, anticip,,,,,,,,
nasty, anger,, disgust, fear,, sadness,,, negative,
nation,,,,,,,, trust,,
naturalist,,,,,,,,,, positive
naughty,,,,,,,,, negative,
nausea,,, disgust,,,,,, negative,
nauseous,,, disgust,,, sadness,,, negative,
navigable,, anticip,,,,,,,, positive
navigator,, anticip,,,,,, trust,,
nay,,,,,,,,, negative,
neatly,,,,,,,,,, positive
necessity,,,,,, sadness,,,,
nectar,,,,,,,,,, positive
needful,,,,,,,,, negative,
needle,,,,,,,,,, positive
needy,,,,,,,,, negative,
nefarious,,, disgust, fear,, sadness, surprise,, negative,
negation, anger,,,,,,,, negative,
negative,,,,,, sadness,,, negative,
neglect,,,,,,,,, negative,
neglected, anger,, disgust,,, sadness,,, negative,
neglecting,,,,,,,,, negative,
negligence,,,,,,,,, negative,
negligent,,,,,,,,, negative,
negligently,,,,,,,,, negative,
negotiate,,,,,,,, trust,, positive
negotiator,,,,,,,,,, positive
negro,,,,,, sadness,,, negative,
neighbor,, anticip,,,,,, trust,, positive
neighborhood,, anticip,,,,,,,,
nepotism, anger,, disgust,,, sadness,,, negative,
nerve,,,,,,,,,, positive
nervous,, anticip,, fear,,,,, negative,
nervousness,,,, fear,,,,,,
nest,,,,,,,, trust,,
nestle,,,,,,,, trust,, positive
nether, anger,,, fear,, sadness,,, negative,
nettle, anger,, disgust,,,,,, negative,
network,, anticip,,,,,,,,
neuralgia,,,, fear,, sadness,,, negative,
neurosis,,,, fear,, sadness,,, negative,
neurotic,,, disgust, fear,,,,, negative,
neutral,, anticip,,,,,, trust,,
neutrality,,,,,,,, trust,,
newcomer,,,, fear,,, surprise,,,
nicotine,,, disgust,,,,,, negative,
nigger,,,,,,,,, negative,
nightmare,,,, fear,,,,, negative,
nihilism,,,,,,,,, negative,
nobility,, anticip,,,,,, trust,, positive
noble,,,,,,,, trust,, positive
nobleman,,,,,,,, trust,, positive
noise,,,,,,,,, negative,
noisy, anger,,,,,,,, negative,
nomination,,,,,,,,,, positive
noncompliance, anger, anticip,, fear,, sadness,,, negative,
nonsense,,,,,,,,, negative,
nonsensical,,,,,, sadness,,, negative,
noose,,,,,, sadness,,, negative,
normality,,,,,,,,,, positive
nose,,, disgust,,,,,,,
notable,,,,, joy,,, trust,, positive
notables,,,,,,,,,, positive
notary,,,,,,,, trust,,
noted,,,,,,,,,, positive
nothingness,,,,,, sadness,,, negative,
notification,, anticip,,,,,,,,
notion,,,,,,,,,, positive
notoriety, anger,, disgust, fear,,,,, negative, positive
nourishment,,,,,,,,,, positive
noxious,,, disgust, fear,,,,, negative,
nuisance, anger,,,,,,,, negative,
nul,,,,,,,,, negative,
nullify,,,,,,, surprise,, negative,
numb,,,,,,,,, negative,
numbers,,,,,,,,,, positive
numbness,,,,,, sadness,,, negative,
nun,,,,,,,, trust, negative,
nurse,,,,,,,, trust,, positive
nursery,,,,, joy,,, trust,, positive
nurture, anger, anticip, disgust, fear, joy,,, trust,, positive
nutritious,,,,,, sadness,,,, positive
oaf,,,,,,,,, negative,
oak,,,,,,,,,, positive
oasis,, anticip,,, joy,,, trust,, positive
oath,,,,,,,, trust,, positive
obedience,,,,,,,, trust,, positive
obese,,, disgust,,,,,, negative,
obesity,,, disgust,,, sadness,,, negative,
obey,,,, fear,,,, trust,,
obi,,, disgust, fear,,,,, negative,
obit,,,,,, sadness, surprise,, negative,
obituary,,,,,, sadness,,, negative,
objection, anger,,,,,,,, negative,
objectionable,,,,,,,,, negative,
objective,, anticip,,,,,, trust,, positive
oblige,,,,,,,, trust, negative,
obliging, anger, anticip, disgust, fear, joy,, surprise, trust,, positive
obligor,,,, fear,,,,, negative,
obliterate, anger,,, fear,, sadness,,, negative,
obliterated, anger,,, fear,,,,, negative,
obliteration,,,, fear,, sadness,,, negative,
oblivion, anger,,, fear,,,,, negative,
obnoxious, anger,, disgust,,, sadness,,, negative,
obscene,,, disgust,,,,,, negative,
obscenity, anger,, disgust,,,,,, negative,
obscurity,,,,,,,,, negative,
observant,,,,,,,,,, positive
obstacle, anger,,, fear,, sadness,,, negative,
obstetrician,,,,,,,, trust,,
obstinate,,,,,,,,, negative,
obstruct, anger,,, fear,,,,, negative,
obstruction,,,,,,,,, negative,
obstructive, anger,,,,,,,, negative,
obtainable,,,,, joy,,,,, positive
obtuse,,,,,,,,, negative,
obvious,,,,,,,, trust,, positive
occasional,,,,,,, surprise,,,
occult,,, disgust, fear,,,,, negative,
occupant,,,,,,,, trust,, positive
occupation,,,,,,,,,, positive
occupy,,,,,,,,,, positive
octopus,,, disgust,,,,,,,
oddity,,, disgust,,, sadness, surprise,, negative,
odious, anger,, disgust, fear,,,,, negative,
odor,,,,,,,,, negative,
offend, anger,, disgust,,,,,, negative,
offended, anger,,,,, sadness,,, negative,
offender, anger,, disgust, fear,, sadness,,, negative,
offense, anger,, disgust, fear,, sadness,,, negative,
offensive, anger,, disgust,,,,,, negative,
offer,,,,,,,,,, positive
offering,,,,,,,, trust,,
offhand,,,,,,,,, negative,
officer,,,,,,,, trust,, positive
official,,,,,,,, trust,,
offing,,,,,,,,, negative,
offset,, anticip,,,,,,,, positive
offshoot,,,,,,,,,, positive
ogre,,, disgust, fear,,,,, negative,
older,,,,,, sadness,,,,
olfactory,, anticip,,,,,,, negative,
oligarchy,,,,,,,,, negative,
omen,, anticip,, fear,,,,, negative,
ominous,, anticip,, fear,,,,, negative,
omit,,,,,,,,, negative,
omnipotence,,,, fear,,,,, negative, positive
omniscient,,,,,,,, trust,, positive
onerous, anger,,,,, sadness,,, negative,
ongoing,, anticip,,,,,,,,
onset,, anticip,,,,,,,,
onus,,,,,,,,, negative,
ooze,,, disgust,,,,,, negative,
opaque,,,,,,,,, negative,
openness,,,,,,,,,, positive
opera, anger, anticip,, fear, joy, sadness, surprise, trust,, positive
operatic,,,,,,,,, negative,
operation,,,, fear,,,, trust,,
opiate,,,,,,,,, negative,
opinionated, anger,,,,,,,, negative,
opium, anger,, disgust, fear,, sadness,,, negative,
opponent, anger, anticip, disgust, fear,,,,, negative,
opportune,,,,, joy,,,,, positive
opportunity,, anticip,,,,,,,, positive
oppose,,,,,,,,, negative,
opposed, anger,,, fear,,,,, negative,
opposition, anger,,,,,,,, negative,
oppress, anger,, disgust, fear,, sadness,,, negative,
oppression, anger,, disgust, fear,, sadness,,, negative,
oppressive, anger,, disgust, fear,, sadness,,, negative,
oppressor, anger,,, fear,, sadness,,, negative,
optimism,, anticip,,, joy,, surprise, trust,, positive
optimist,,,,,,,, trust,, positive
option,,,,,,,,,, positive
optional,,,,,,,,,, positive
oracle,, anticip,,,,,, trust,, positive
oration,,,,,,,,,, positive
orc, anger,, disgust, fear,,,,, negative,
orchestra, anger,,,, joy, sadness,, trust,, positive
ordained,,,,,,,, trust,, positive
ordeal, anger,,,,,, surprise,, negative,
orderly,,,,,,,,,, positive
ordinance,,,,,,,, trust,,
ordination,, anticip,,, joy,,, trust,, positive
ordnance,,,, fear,,,,, negative,
organ,, anticip,,, joy,,,,,
organic,,,,,,,,,, positive
organization,, anticip,,, joy,, surprise, trust,, positive
organize,,,,,,,,,, positive
organized,,,,,,,,,, positive
orgasm,, anticip,,, joy,,,,, positive
originality,,,,,,, surprise,,, positive
ornamented,,,,,,,,,, positive
ornate,,,,,,,,,, positive
orphan,,,, fear,, sadness,,, negative,
orthodoxy,,,,,,,, trust,,
ostensibly,,,,,,,,, negative,
oust, anger,,,,, sadness,,, negative,
outburst, anger,,, fear, joy, sadness, surprise,, negative, positive
outcast,,, disgust, fear,, sadness,,, negative,
outcome,,,,,,,,,, positive
outcry, anger,,, fear,,, surprise,, negative,
outdo,, anticip,,,,,,,, positive
outhouse,,, disgust,,,,,, negative,
outlandish,,,,,,,,, negative,
outlaw,,,,,,,,, negative,
outpost,,,, fear,,,,,,
outrage, anger,, disgust,,,,,, negative,
outrageous,,,,,,, surprise,,,
